,phenomenon_number,phenomenon_name,phenomenon_type,arg1_premise1,arg1_premise2,arg1_premise3,arg1_conclusion,arg2_premise1,arg2_premise2,arg2_premise3,arg2_conclusion
139,1,Premise Typicality,General,deer,,,mammal,hedgehog,,,mammal
140,1,Premise Typicality,General,woodpecker,,,bird,ostrich,,,bird
141,1,Premise Typicality,General,herring,,,fish,dolphin,,,fish
142,1,Premise Typicality,General,bison,,,mammal,hedgehog,,,mammal
143,1,Premise Typicality,General,ostrich,,,bird,penguin,,,bird
144,1,Premise Typicality,General,boa,,,reptile,caiman,,,reptile
145,1,Premise Typicality,General,lion,,,mammal,monkey,,,mammal
146,1,Premise Typicality,General,pike,,,fish,swordfish,,,fish
147,1,Premise Typicality,General,flatfish,,,fish,squid,,,fish
148,1,Premise Typicality,General,alligator,,,reptile,dinosaur,,,reptile
149,1,Premise Typicality,General,alligator,,,reptile,tortoise,,,reptile
150,1,Premise Typicality,General,cuckoo,,,bird,ostrich,,,bird
151,1,Premise Typicality,General,fly,,,insect,centipede,,,insect
152,1,Premise Typicality,General,python,,,reptile,toad,,,reptile
153,1,Premise Typicality,General,crocodile,,,reptile,toad,,,reptile
154,1,Premise Typicality,General,cod,,,fish,swordfish,,,fish
155,1,Premise Typicality,General,horse,,,mammal,squirrel,,,mammal
156,1,Premise Typicality,General,earwig,,,insect,worm,,,insect
157,1,Premise Typicality,General,chicken,,,bird,ostrich,,,bird
158,1,Premise Typicality,General,seagull,,,bird,ostrich,,,bird
159,1,Premise Typicality,General,rabbit,,,mammal,bat,,,mammal
160,1,Premise Typicality,General,trout,,,fish,anchovy,,,fish
161,1,Premise Typicality,General,salmon,,,fish,piranha,,,fish
162,1,Premise Typicality,General,crow,,,bird,ostrich,,,bird
163,1,Premise Typicality,General,fruit fly,,,insect,louse,,,insect
164,1,Premise Typicality,General,pig,,,mammal,bat,,,mammal
165,1,Premise Typicality,General,cow,,,mammal,hedgehog,,,mammal
166,1,Premise Typicality,General,herring,,,fish,sperm whale,,,fish
167,1,Premise Typicality,General,trout,,,fish,sardine,,,fish
168,1,Premise Typicality,General,deer,,,mammal,monkey,,,mammal
169,1,Premise Typicality,General,bee,,,insect,louse,,,insect
170,1,Premise Typicality,General,trout,,,fish,eel,,,fish
171,1,Premise Typicality,General,alligator,,,reptile,frog,,,reptile
172,1,Premise Typicality,General,zebra,,,mammal,polar bear,,,mammal
173,1,Premise Typicality,General,fly,,,insect,earwig,,,insect
174,1,Premise Typicality,General,plaice,,,fish,squid,,,fish
175,1,Premise Typicality,General,cod,,,fish,dolphin,,,fish
176,1,Premise Typicality,General,blackbird,,,bird,ostrich,,,bird
177,1,Premise Typicality,General,fruit fly,,,insect,spider,,,insect
178,1,Premise Typicality,General,dog,,,mammal,hedgehog,,,mammal
179,1,Premise Typicality,General,shark,,,fish,squid,,,fish
180,1,Premise Typicality,General,bee,,,insect,spider,,,insect
181,1,Premise Typicality,General,trout,,,fish,shark,,,fish
182,1,Premise Typicality,General,cobra,,,reptile,toad,,,reptile
183,1,Premise Typicality,General,mosquito,,,insect,caterpillar,,,insect
184,1,Premise Typicality,General,horse,,,mammal,beaver,,,mammal
185,1,Premise Typicality,General,ladybug,,,insect,worm,,,insect
186,1,Premise Typicality,General,salmon,,,fish,goldfish,,,fish
187,1,Premise Typicality,General,iguana,,,reptile,toad,,,reptile
188,1,Premise Typicality,General,heron,,,bird,ostrich,,,bird
189,1,Premise Typicality,General,pike,,,fish,sperm whale,,,fish
190,1,Premise Typicality,General,boa,,,reptile,dinosaur,,,reptile
191,1,Premise Typicality,General,carp,,,fish,piranha,,,fish
192,1,Premise Typicality,General,llama,,,mammal,hamster,,,mammal
193,1,Premise Typicality,General,boa,,,reptile,tortoise,,,reptile
194,1,Premise Typicality,General,mosquito,,,insect,grasshopper,,,insect
195,1,Premise Typicality,General,viper,,,reptile,toad,,,reptile
196,1,Premise Typicality,General,leech,,,insect,worm,,,insect
197,1,Premise Typicality,General,pheasant,,,bird,ostrich,,,bird
198,1,Premise Typicality,General,cow,,,mammal,monkey,,,mammal
199,1,Premise Typicality,General,wasp,,,insect,louse,,,insect
200,2,Premise Diversity,General,crocodile,cobra,,reptile,crocodile,caiman,,reptile
201,2,Premise Diversity,General,crocodile,viper,,reptile,crocodile,caiman,,reptile
202,2,Premise Diversity,General,viper,chameleon,,reptile,viper,blindworm,,reptile
203,2,Premise Diversity,General,snake,salamander,,reptile,snake,cobra,,reptile
204,2,Premise Diversity,General,snake,alligator,,reptile,snake,cobra,,reptile
205,2,Premise Diversity,General,boa,crocodile,,reptile,boa,cobra,,reptile
206,2,Premise Diversity,General,python,crocodile,,reptile,python,cobra,,reptile
207,2,Premise Diversity,General,lizard,snake,,reptile,lizard,salamander,,reptile
208,2,Premise Diversity,General,salamander,boa,,reptile,salamander,chameleon,,reptile
209,2,Premise Diversity,General,sole,whale,,fish,sole,flatfish,,fish
210,2,Premise Diversity,General,cod,whale,,fish,cod,salmon,,fish
211,2,Premise Diversity,General,heron,sparrow,,bird,heron,stork,,bird
212,2,Premise Diversity,General,iguana,viper,,reptile,iguana,chameleon,,reptile
213,2,Premise Diversity,General,alligator,boa,,reptile,alligator,crocodile,,reptile
214,2,Premise Diversity,General,dromedary,cat,,mammal,dromedary,giraffe,,mammal
215,2,Premise Diversity,General,shark,anchovy,,fish,shark,dolphin,,fish
216,2,Premise Diversity,General,carp,whale,,fish,carp,stickleback,,fish
217,2,Premise Diversity,General,bumblebee,beetle,,insect,bumblebee,horsefly,,insect
218,2,Premise Diversity,General,salamander,viper,,reptile,salamander,chameleon,,reptile
219,2,Premise Diversity,General,sole,orca,,fish,sole,flatfish,,fish
220,2,Premise Diversity,General,shark,sardine,,fish,shark,dolphin,,fish
221,2,Premise Diversity,General,alligator,python,,reptile,alligator,crocodile,,reptile
222,2,Premise Diversity,General,alligator,cobra,,reptile,alligator,crocodile,,reptile
223,2,Premise Diversity,General,viper,dinosaur,,reptile,viper,blindworm,,reptile
224,2,Premise Diversity,General,robin,stork,,bird,robin,canary,,bird
225,2,Premise Diversity,General,cod,orca,,fish,cod,salmon,,fish
226,2,Premise Diversity,General,cobra,iguana,,reptile,cobra,viper,,reptile
227,2,Premise Diversity,General,carp,orca,,fish,carp,stickleback,,fish
228,2,Premise Diversity,General,herring,orca,,fish,herring,cod,,fish
229,2,Premise Diversity,General,blackbird,turkey,,bird,blackbird,sparrow,,bird
230,2,Premise Diversity,General,flatfish,orca,,fish,flatfish,plaice,,fish
231,2,Premise Diversity,General,lizard,boa,,reptile,lizard,salamander,,reptile
232,2,Premise Diversity,General,python,iguana,,reptile,python,cobra,,reptile
233,2,Premise Diversity,General,salamander,python,,reptile,salamander,chameleon,,reptile
234,2,Premise Diversity,General,kangaroo,hamster,,mammal,kangaroo,monkey,,mammal
235,2,Premise Diversity,General,hippopotamus,cat,,mammal,hippopotamus,rhinoceros,,mammal
236,2,Premise Diversity,General,anchovy,sperm whale,,fish,anchovy,goldfish,,fish
237,2,Premise Diversity,General,snake,crocodile,,reptile,snake,cobra,,reptile
238,2,Premise Diversity,General,trout,orca,,fish,trout,herring,,fish
239,2,Premise Diversity,General,giraffe,rabbit,,mammal,giraffe,kangaroo,,mammal
240,2,Premise Diversity,General,falcon,turkey,,bird,falcon,eagle,,bird
241,2,Premise Diversity,General,python,chameleon,,reptile,python,cobra,,reptile
242,2,Premise Diversity,General,heron,parakeet,,bird,heron,stork,,bird
243,2,Premise Diversity,General,chickadee,duck,,bird,chickadee,robin,,bird
244,2,Premise Diversity,General,rhinoceros,rabbit,,mammal,rhinoceros,elephant,,mammal
245,2,Premise Diversity,General,chicken,sparrow,,bird,chicken,rooster,,bird
246,2,Premise Diversity,General,robin,pelican,,bird,robin,canary,,bird
247,2,Premise Diversity,General,robin,peacock,,bird,robin,canary,,bird
248,2,Premise Diversity,General,boa,chameleon,,reptile,boa,cobra,,reptile
249,2,Premise Diversity,General,giraffe,hamster,,mammal,giraffe,kangaroo,,mammal
250,2,Premise Diversity,General,dinosaur,turtle,,reptile,dinosaur,monitor lizard,,reptile
251,2,Premise Diversity,General,orca,plaice,,fish,orca,shark,,fish
252,2,Premise Diversity,General,chickadee,stork,,bird,chickadee,robin,,bird
253,2,Premise Diversity,General,herring,whale,,fish,herring,cod,,fish
254,2,Premise Diversity,General,ray,orca,,fish,ray,plaice,,fish
255,2,Premise Diversity,General,turkey,chickadee,,bird,turkey,duck,,bird
256,2,Premise Diversity,General,boa,iguana,,reptile,boa,cobra,,reptile
257,2,Premise Diversity,General,hippopotamus,hamster,,mammal,hippopotamus,rhinoceros,,mammal
258,2,Premise Diversity,General,whale,ray,,fish,whale,orca,,fish
259,2,Premise Diversity,General,heron,robin,,bird,heron,stork,,bird
260,2,Premise Diversity,General,alligator,viper,,reptile,alligator,crocodile,,reptile
261,2,Premise Diversity,General,chickadee,swan,,bird,chickadee,robin,,bird
262,2,Premise Diversity,General,heron,chickadee,,bird,heron,stork,,bird
263,2,Premise Diversity,General,dromedary,hamster,,mammal,dromedary,giraffe,,mammal
264,2,Premise Diversity,General,heron,canary,,bird,heron,stork,,bird
265,2,Premise Diversity,General,chickadee,pelican,,bird,chickadee,robin,,bird
266,2,Premise Diversity,General,trout,whale,,fish,trout,herring,,fish
267,2,Premise Diversity,General,salmon,whale,,fish,salmon,carp,,fish
268,2,Premise Diversity,General,robin,rooster,,bird,robin,canary,,bird
269,2,Premise Diversity,General,robin,swan,,bird,robin,canary,,bird
270,2,Premise Diversity,General,chicken,blackbird,,bird,chicken,rooster,,bird
271,2,Premise Diversity,General,viper,caiman,,reptile,viper,blindworm,,reptile
272,2,Premise Diversity,General,orca,sardine,,fish,orca,shark,,fish
273,2,Premise Diversity,General,anchovy,dolphin,,fish,anchovy,goldfish,,fish
274,2,Premise Diversity,General,chickadee,peacock,,bird,chickadee,robin,,bird
275,2,Premise Diversity,General,turkey,robin,,bird,turkey,duck,,bird
276,2,Premise Diversity,General,salmon,orca,,fish,salmon,carp,,fish
277,2,Premise Diversity,General,sparrow,duck,,bird,sparrow,robin,,bird
278,2,Premise Diversity,General,viper,tortoise,,reptile,viper,blindworm,,reptile
279,2,Premise Diversity,General,cow,cat,,mammal,cow,hippopotamus,,mammal
280,2,Premise Diversity,General,robin,vulture,,bird,robin,canary,,bird
281,2,Premise Diversity,General,whale,flatfish,,fish,whale,orca,,fish
282,2,Premise Diversity,General,wasp,beetle,,insect,wasp,bumblebee,,insect
283,2,Premise Diversity,General,elephant,hamster,,mammal,elephant,giraffe,,mammal
284,2,Premise Diversity,General,sparrow,stork,,bird,sparrow,robin,,bird
285,2,Premise Diversity,General,whale,plaice,,fish,whale,orca,,fish
286,2,Premise Diversity,General,snake,chameleon,,reptile,snake,cobra,,reptile
287,2,Premise Diversity,General,bumblebee,centipede,,insect,bumblebee,horsefly,,insect
288,2,Premise Diversity,General,shark,eel,,fish,shark,dolphin,,fish
289,2,Premise Diversity,General,lizard,viper,,reptile,lizard,salamander,,reptile
290,2,Premise Diversity,General,bumblebee,wood louse,,insect,bumblebee,horsefly,,insect
291,2,Premise Diversity,General,viper,frog,,reptile,viper,blindworm,,reptile
292,2,Premise Diversity,General,sparrow,pelican,,bird,sparrow,robin,,bird
293,2,Premise Diversity,General,chickadee,rooster,,bird,chickadee,robin,,bird
294,2,Premise Diversity,General,whale,anchovy,,fish,whale,orca,,fish
295,2,Premise Diversity,General,chickadee,vulture,,bird,chickadee,robin,,bird
296,2,Premise Diversity,General,robin,eagle,,bird,robin,canary,,bird
297,2,Premise Diversity,General,rhinoceros,squirrel,,mammal,rhinoceros,elephant,,mammal
298,2,Premise Diversity,General,falcon,parakeet,,bird,falcon,eagle,,bird
299,2,Premise Diversity,General,ray,shark,,fish,ray,plaice,,fish
300,2,Premise Diversity,General,parakeet,duck,,bird,parakeet,canary,,bird
301,2,Premise Diversity,General,lizard,python,,reptile,lizard,salamander,,reptile
302,2,Premise Diversity,General,hamster,polar bear,,mammal,hamster,mouse,,mammal
303,2,Premise Diversity,General,chickadee,eagle,,bird,chickadee,robin,,bird
304,2,Premise Diversity,General,orca,anchovy,,fish,orca,shark,,fish
305,2,Premise Diversity,General,kangaroo,squirrel,,mammal,kangaroo,monkey,,mammal
306,2,Premise Diversity,General,parakeet,pelican,,bird,parakeet,canary,,bird
307,2,Premise Diversity,General,chicken,heron,,bird,chicken,rooster,,bird
308,2,Premise Diversity,General,cat,rhinoceros,,mammal,cat,rabbit,,mammal
309,2,Premise Diversity,General,viper,turtle,,reptile,viper,blindworm,,reptile
310,2,Premise Diversity,General,parakeet,stork,,bird,parakeet,canary,,bird
311,2,Premise Diversity,General,chicken,chickadee,,bird,chicken,rooster,,bird
312,2,Premise Diversity,General,cuckoo,turkey,,bird,cuckoo,owl,,bird
313,2,Premise Diversity,General,swallow,turkey,,bird,swallow,seagull,,bird
314,2,Premise Diversity,General,sparrow,swan,,bird,sparrow,robin,,bird
315,2,Premise Diversity,General,turkey,canary,,bird,turkey,duck,,bird
316,2,Premise Diversity,General,lizard,cobra,,reptile,lizard,salamander,,reptile
317,2,Premise Diversity,General,elephant,rabbit,,mammal,elephant,giraffe,,mammal
318,2,Premise Diversity,General,whale,eel,,fish,whale,orca,,fish
319,2,Premise Diversity,General,dinosaur,toad,,reptile,dinosaur,monitor lizard,,reptile
320,2,Premise Diversity,General,dromedary,squirrel,,mammal,dromedary,giraffe,,mammal
321,2,Premise Diversity,General,falcon,chickadee,,bird,falcon,eagle,,bird
322,2,Premise Diversity,General,cobra,chameleon,,reptile,cobra,viper,,reptile
323,2,Premise Diversity,General,sole,shark,,fish,sole,flatfish,,fish
324,2,Premise Diversity,General,salamander,alligator,,reptile,salamander,chameleon,,reptile
325,2,Premise Diversity,General,dromedary,rabbit,,mammal,dromedary,giraffe,,mammal
326,2,Premise Diversity,General,centipede,horsefly,,insect,centipede,caterpillar,,insect
327,2,Premise Diversity,General,snake,iguana,,reptile,snake,cobra,,reptile
328,2,Premise Diversity,General,beetle,moth,,insect,beetle,cockchafer,,insect
329,2,Premise Diversity,General,giraffe,squirrel,,mammal,giraffe,kangaroo,,mammal
330,2,Premise Diversity,General,carp,sperm whale,,fish,carp,stickleback,,fish
331,2,Premise Diversity,General,chicken,crow,,bird,chicken,rooster,,bird
332,2,Premise Diversity,General,turkey,parakeet,,bird,turkey,duck,,bird
333,2,Premise Diversity,General,whale,sardine,,fish,whale,orca,,fish
334,2,Premise Diversity,General,blackbird,pheasant,,bird,blackbird,sparrow,,bird
335,2,Premise Diversity,General,orca,eel,,fish,orca,shark,,fish
336,2,Premise Diversity,General,sole,sperm whale,,fish,sole,flatfish,,fish
337,2,Premise Diversity,General,fruit fly,beetle,,insect,fruit fly,flee,,insect
338,2,Premise Diversity,General,blackbird,heron,,bird,blackbird,sparrow,,bird
339,2,Premise Diversity,General,pike,whale,,fish,pike,carp,,fish
340,2,Premise Diversity,General,falcon,duck,,bird,falcon,eagle,,bird
341,2,Premise Diversity,General,chameleon,frog,,reptile,chameleon,gecko,,reptile
342,2,Premise Diversity,General,bumblebee,earwig,,insect,bumblebee,horsefly,,insect
343,2,Premise Diversity,General,parakeet,swan,,bird,parakeet,canary,,bird
344,2,Premise Diversity,General,chameleon,tortoise,,reptile,chameleon,gecko,,reptile
345,2,Premise Diversity,General,caiman,toad,,reptile,caiman,monitor lizard,,reptile
346,2,Premise Diversity,General,hippopotamus,squirrel,,mammal,hippopotamus,rhinoceros,,mammal
347,2,Premise Diversity,General,whale,stickleback,,fish,whale,orca,,fish
348,2,Premise Diversity,General,llama,cat,,mammal,llama,dromedary,,mammal
349,2,Premise Diversity,General,viper,toad,,reptile,viper,blindworm,,reptile
350,2,Premise Diversity,General,stickleback,orca,,fish,stickleback,anchovy,,fish
351,2,Premise Diversity,General,blackbird,duck,,bird,blackbird,sparrow,,bird
352,2,Premise Diversity,General,flatfish,shark,,fish,flatfish,plaice,,fish
353,2,Premise Diversity,General,earwig,horsefly,,insect,earwig,centipede,,insect
354,2,Premise Diversity,General,sparrow,rooster,,bird,sparrow,robin,,bird
355,2,Premise Diversity,General,falcon,robin,,bird,falcon,eagle,,bird
356,2,Premise Diversity,General,pike,orca,,fish,pike,carp,,fish
357,2,Premise Diversity,General,sparrow,vulture,,bird,sparrow,robin,,bird
358,2,Premise Diversity,General,mosquito,beetle,,insect,mosquito,dragonfly,,insect
359,2,Premise Diversity,General,parakeet,vulture,,bird,parakeet,canary,,bird
360,2,Premise Diversity,General,bison,cat,,mammal,bison,cow,,mammal
361,2,Premise Diversity,General,cod,sperm whale,,fish,cod,salmon,,fish
362,2,Premise Diversity,General,dragonfly,beetle,,insect,dragonfly,butterfly,,insect
363,2,Premise Diversity,General,bee,earwig,,insect,bee,wasp,,insect
364,2,Premise Diversity,General,moth,wood louse,,insect,moth,butterfly,,insect
365,2,Premise Diversity,General,bison,hamster,,mammal,bison,cow,,mammal
366,2,Premise Diversity,General,heron,turkey,,bird,heron,stork,,bird
367,2,Premise Diversity,General,canary,stork,,bird,canary,owl,,bird
368,2,Premise Diversity,General,duck,robin,,bird,duck,swan,,bird
369,2,Premise Diversity,General,salamander,crocodile,,reptile,salamander,chameleon,,reptile
370,2,Premise Diversity,General,chicken,robin,,bird,chicken,rooster,,bird
371,2,Premise Diversity,General,pheasant,parakeet,,bird,pheasant,turkey,,bird
372,2,Premise Diversity,General,sardine,sperm whale,,fish,sardine,anchovy,,fish
373,2,Premise Diversity,General,horse,hamster,,mammal,horse,donkey,,mammal
374,2,Premise Diversity,General,pheasant,robin,,bird,pheasant,turkey,,bird
375,2,Premise Diversity,General,sparrow,eagle,,bird,sparrow,robin,,bird
376,2,Premise Diversity,General,parakeet,eagle,,bird,parakeet,canary,,bird
377,2,Premise Diversity,General,wasp,earwig,,insect,wasp,bumblebee,,insect
378,2,Premise Diversity,General,ray,sperm whale,,fish,ray,plaice,,fish
379,2,Premise Diversity,General,monitor lizard,blindworm,,reptile,monitor lizard,gecko,,reptile
380,2,Premise Diversity,General,duck,canary,,bird,duck,swan,,bird
381,2,Premise Diversity,General,cat,elephant,,mammal,cat,rabbit,,mammal
382,2,Premise Diversity,General,wasp,centipede,,insect,wasp,bumblebee,,insect
383,2,Premise Diversity,General,wood louse,butterfly,,insect,wood louse,earwig,,insect
384,2,Premise Diversity,General,woodpecker,chicken,,bird,woodpecker,crow,,bird
