,feature/ exemplar ENGLISH,,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,cabary,kip,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish,bee,leech,horsefly,centipede,fruit fly,bumblebee,cockroach,beetle,cricket,dragonfly,ladybug,louse,maybug,ant,moth,mosquito,earwig,wood louse,caterpillar,spider,grasshopper,fly,butterfly,flee,wasp,worm,viger,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
is bruin,is brown,239,3,4,3,4,4,4,1,2,3,4,3,0,3,3,2,3,3,3,1,0,1,0,3,0,2,0,1,3,1,0,4,0,3,0,4,3,2,0,0,3,2,1,1,0,1,3,0,0,1,0,0,0,0,1,0,2,3,4,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,2,0,2,0,1,1,1,0,1,0,0,3,3,3,0,0,3,1,0,1,0,0,3,2,4,0,4,2,1,2,1,0,1,1,0,2,3,2,2,1,3,2,2,4,2,2,1,1,2,3,2,3,2,3,3,0
heeft vleugels,has wings,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,1,2,1,4,4,0,4,1,4,4,0,0,0,0,1,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leeft in water,lives in water,234,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,0,0,0,0,0,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,4,0,3,4,0,2,0,2,1,0,1,4
is eetbaar,is edible,216,3,2,3,2,2,2,2,2,2,3,3,2,3,3,4,4,2,2,2,2,2,2,4,4,2,4,1,2,2,2,1,4,4,1,4,2,3,4,1,4,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,4,1,1,2,1,4,2,4,2,4,4,4,4,4,2,4,3,4,4,2,4,4,4,4,4,2,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,2,1,2,1,1,0,2,1,0
heeft vier poten,has four paws,205,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,4,0,4,4,4,4,4,4,1,4,4,0,3,4
grijs,is grey,185,1,1,0,0,0,0,3,0,1,0,1,1,0,2,0,2,0,0,2,4,3,4,2,0,0,0,1,1,3,0,0,3,1,0,0,0,1,0,0,1,2,0,0,2,0,0,1,0,1,0,1,1,2,0,0,0,2,1,0,1,3,4,3,0,3,4,2,4,2,1,3,3,2,3,4,2,4,3,3,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gevaarlijk,is dangerous,168,0,0,2,0,0,0,0,1,0,0,1,4,0,0,0,0,0,4,0,3,2,1,0,0,4,0,2,1,4,0,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,3,0,3,0,0,1,0,0,0,0,0,2,0,1,2,3,2,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,3,0,1,4,4,4,4,1,0,0,4,0,0,4,0,0,4,0,0,2,2,0
heeft veren,has feathers,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is groen,is green,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,2,2,3,1,1,4,3,0,2,2,3,3,2,1,2,2,4,2,1,3
leeft in de zee,lives in the sea,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,4,2,2,4,4,4,4,3,4,3,2,4,4,4,4,4,2,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
heeft een staart,has a tail,163,4,4,4,4,4,2,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,2,4,4,4,2,4,4,1,4,4,1,2,4,4,2,4,4
leeft in de zoo,lives in the zoo,160,3,3,4,3,2,1,2,4,0,4,0,3,3,0,0,0,4,4,0,4,4,4,1,1,4,0,3,2,2,4,3,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,4,2,3,3,4,1,1,1,4,3,3,3,0,0,4,1,2,2,1,2,1,1,3,2,4,2,2,0,2,0,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,4,4,4,3,1,4,4,2,4,4,3,4,4,3,4,4,4,4,3,4
heeft schubben,has scales,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,4,1,4,4,0,3,4,3,3,1,3,4,4,4,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,3,3,2,3,3,1,3,3,1,2,3,2,2,3,2
leeft in groep,herds,155,3,2,4,2,2,0,1,4,1,4,0,2,3,0,4,2,2,4,2,2,1,3,2,4,4,2,3,2,2,4,0,3,3,1,2,2,3,2,0,4,2,2,2,3,2,2,2,1,0,0,2,3,1,1,1,2,1,0,3,2,3,4,3,2,1,3,1,3,2,2,2,3,2,2,2,2,3,2,3,2,2,3,2,4,2,3,3,2,3,3,3,3,2,1,3,3,4,1,1,2,4,3,2,4,1,2,2,4,1,0,1,0,0,3,0,0,1,1,0,2,1,0,2,0,0,3,0,0,3
is een huisdier,is a pet,151,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,3,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,4
zwart,is black,151,0,0,0,0,0,0,0,0,1,0,3,0,0,3,1,2,0,0,0,0,0,0,3,3,0,1,3,0,0,1,0,0,0,3,0,2,1,2,0,1,0,3,1,1,2,0,0,0,0,0,0,2,0,0,2,2,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,2,0,3,2,1,2,1,0,0,1,1,3,0,1,1,1,0,3,0,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
kan zwemmen,can swim,148,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,1,1,4,1,3,4,1,2,2,2,1,2,1,4
heeft een snavel,has a bill,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eet vis,eats fish,133,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,4,4,4,0,0,1,0,1,2,0,3,3,3,1,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,0,0,0
reptiel,is a reptile,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,3,4,2,3,4,2,3,2,3,3,3,3
leeft in het bos,lives in the woods,121,2,1,0,0,4,4,0,0,1,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,2,4,4,0,1,2,0,4,1,1,0,0,1,0,4,2,3,0,3,3,0,1,1,0,0,0,1,3,4,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,3,3,3,2,3,2,3,4,2,3,3,3,4,4,1,3,2,2,3,4,3,1,1,1,0,1,2,3,1,1,2,1,1,2,1,2,0,1,2,0
is wit,is white,120,0,0,0,0,0,0,0,0,1,0,3,4,0,3,2,3,1,0,3,0,0,0,2,3,0,0,0,0,0,1,0,3,0,0,0,1,1,1,0,2,0,0,0,2,0,0,2,1,0,0,1,2,2,1,1,1,1,0,3,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft vinnen,has fins,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft kieuwen,has gills,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
heeft twee poten,has two paws,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bouwt nesten,builds nests,112,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
eet insecten,eats insects,102,0,0,0,0,0,2,0,0,1,1,1,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,4,1,1,0,3,3,3,4,4,1,2,2,3,2,4,4,4,4,4,4,3,3,2,2,2,1,3,4,4,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,3,2,2,2,2,4,4,4,2,3,4,2,3,4,2,4,2,2,3,2
er zijn verschillende soorten,there are many kinds of it,98,3,1,1,1,1,2,2,1,3,3,4,1,1,4,3,3,1,2,3,1,1,3,4,3,1,3,1,1,1,1,1,3,3,1,1,3,2,1,1,3,1,1,2,2,1,1,1,4,1,1,1,3,1,1,1,1,4,2,2,1,1,2,1,2,3,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,4,1,2,1,1,3,4,1,3,4,1,1,3,2,1,2,2,4,2,3,2,1,2,4,4,2,2,2,3,4,4,1,2
heeft scherpe tanden,has sharp teeth,97,0,2,0,0,2,0,1,0,3,0,2,3,0,2,0,2,0,4,2,1,1,1,0,0,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,0,0,0,4,0,0,4,0,0,1,0,0,2,2,0
is lekker,is tasty,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,2,4,0,2,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,3,0,2,4,2,4,1,1,2,2,3,1,1,1,4,1,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is snel,is fast,97,1,0,1,0,2,0,0,1,1,3,3,1,2,3,0,2,2,4,2,0,0,0,3,1,4,0,2,3,4,2,4,2,1,2,1,2,0,0,2,0,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,4,0,2,2,3,2,1,4,2,1,2,2,4,2,2,2,2,3,2,2,2,2,2,3,2,2,2,0,2,0,2,2,0,1,0,2,1,0,2,0,2,2,0,0,0,1,1,2,2,0,3,0,3,1,2,2,2,2,3,0,1,1,1,1,2,0,2,3,0,3,2,0
wordt op gevist,is fished for,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,3,4,3,4,4,2,4,2,4,3,1,4,4,4,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwart met wit,is black and white,89,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,1,0,1,2,0,1,1,1,0,0,0,0,0,1,0,0,4,0,0,0,1,4,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leeft in afrika,lives in Africa,88,3,1,2,3,2,1,2,4,1,2,3,1,2,3,3,2,2,4,2,4,4,3,2,2,3,2,1,1,2,3,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,3,2,1,2,0,2,1,1,3,2,2,1,2,1,2,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,3,3,3,3,3,3,2,2,2,3,3,3,2,3,2,2,4,3,2,4,3,2,4,2,2,4,4,2
steekt,stings,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,3,0,2,0,1,0,2,0,1,0,2,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is vies,is nasty,85,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,1,0,0,0,0,1,4,0,0,0,0,1,1,0,0,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,1,2,4,2,2,2,2,4,1,1,1,0,4,1,1,3,2,3,3,3,3,1,2,0,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,0,3,2,0
